"bill_id","term","session","title","keywords","long_title","summary","commem"
"HB98-1001","1997_1998","1998-RS","Transportation",NA,NA,NA,0
"HB98-1002","1997_1998","1998-RS","House Redistricting",NA,NA,NA,0
"HB98-1003","1997_1998","1998-RS","Remove State Only SIP Provisions",NA,NA,NA,0
"HB98-1004","1997_1998","1998-RS","Domestic Violence Treatment Providers",NA,NA,NA,0
"HB98-1005","1997_1998","1998-RS","Reduction Of Property Taxes",NA,NA,NA,0
"HB98-1006","1997_1998","1998-RS","Conservation Of Native Species",NA,NA,NA,0
"HB98-1007","1997_1998","1998-RS","Continue PUC",NA,NA,NA,0
"HB98-1008","1997_1998","1998-RS","Photographic Documents",NA,NA,NA,0
"HB98-1009","1997_1998","1998-RS","Fire Suppression System Program",NA,NA,NA,0
"HB98-1010","1997_1998","1998-RS","Regulation Of Electricians",NA,NA,NA,0
"HB98-1011","1997_1998","1998-RS","Replacement Of Groundwater Depletions",NA,NA,NA,0
"HB98-1012","1997_1998","1998-RS","Continuation Of Electrician Regulation",NA,NA,NA,0
"HB98-1013","1997_1998","1998-RS","Special Fuel Taxation",NA,NA,NA,0
"HB98-1014","1997_1998","1998-RS","Continuation Of Plumbing Board",NA,NA,NA,0
"HB98-1015","1997_1998","1998-RS","Medication Administration Program",NA,NA,NA,0
"HB98-1016","1997_1998","1998-RS","Regulation Of Architects",NA,NA,NA,0
"HB98-1017","1997_1998","1998-RS","Racing Commission Authority",NA,NA,NA,0
"HB98-1018","1997_1998","1998-RS","Continuation Of Architects Board",NA,NA,NA,0
"HB98-1019","1997_1998","1998-RS","Min Hospital Stay After Childbirth",NA,NA,NA,0
"HB98-1020","1997_1998","1998-RS","Exemption From Local Government Audits",NA,NA,NA,0
"HB98-1021","1997_1998","1998-RS","Status Aux Facilities & Extend Exp Date",NA,NA,NA,0
"HB98-1022","1997_1998","1998-RS","Qualified Fire & Police Pension Plans",NA,NA,NA,0
"HB98-1023","1997_1998","1998-RS","Residency Reqmt For Old Age Pension",NA,NA,NA,0
"HB98-1024","1997_1998","1998-RS","Police & Fire Survivor Benefits",NA,NA,NA,0
"HB98-1025","1997_1998","1998-RS","PIP Deductibles & Coinsurance",NA,NA,NA,0
"HB98-1026","1997_1998","1998-RS","Theft Of Public Transportation Services",NA,NA,NA,0
"HB98-1027","1997_1998","1998-RS","Prohibition Of Cruising",NA,NA,NA,0
"HB98-1028","1997_1998","1998-RS","Continue Bingo & Raffle Regulation",NA,NA,NA,0
"HB98-1029","1997_1998","1998-RS","Mayoral Term In Stat Council Mngr City",NA,NA,NA,0
"HB98-1030","1997_1998","1998-RS","FCC Licenses Property Tax",NA,NA,NA,0
"HB98-1031","1997_1998","1998-RS","Division Of Occupational Education",NA,NA,NA,0
"HB98-1032","1997_1998","1998-RS","Role Of Parents",NA,NA,NA,0
"HB98-1033","1997_1998","1998-RS","County Categorization For Salaries",NA,NA,NA,0
"HB98-1034","1997_1998","1998-RS","Sex Offender Community Notification",NA,NA,NA,0
"HB98-1035","1997_1998","1998-RS","Volunteer Firefighter Retirement Benefit",NA,NA,NA,0
"HB98-1036","1997_1998","1998-RS","Special License Plates For The Disabled",NA,NA,NA,1
"HB98-1037","1997_1998","1998-RS","Mileage Allow For State Officers & Emp",NA,NA,NA,0
"HB98-1038","1997_1998","1998-RS","Policy Deductible Workers' Comp Funds",NA,NA,NA,0
"HB98-1039","1997_1998","1998-RS","Increase Big Game Poaching Penalties",NA,NA,NA,0
"HB98-1040","1997_1998","1998-RS","Rev Minor Driver's License For Marihuana",NA,NA,NA,0
"HB98-1041","1997_1998","1998-RS","Theft Of Cable Services",NA,NA,NA,0
"HB98-1042","1997_1998","1998-RS","Work Comp Repeal Impairment Guidelines",NA,NA,NA,0
"HB98-1043","1997_1998","1998-RS","Regulation Of Notaries",NA,NA,NA,0
"HB98-1044","1997_1998","1998-RS","Child Care Credentials",NA,NA,NA,0
"HB98-1045","1997_1998","1998-RS","Attempted Killing In Dom Rel Cases",NA,NA,NA,0
"HB98-1046","1997_1998","1998-RS","Ltd Prescriptive Auth For Chiropractors",NA,NA,NA,0
"HB98-1047","1997_1998","1998-RS","CDOT Logo Signs For Urban Areas",NA,NA,NA,0
"HB98-1048","1997_1998","1998-RS","Moment Of Silent Reflection In Schools",NA,NA,NA,0
"HB98-1049","1997_1998","1998-RS","Prohibited Acts By Gaming Establishments",NA,NA,NA,0
"HB98-1050","1997_1998","1998-RS","Higher Ed Employment Contracts",NA,NA,NA,0
"HB98-1051","1997_1998","1998-RS","State Veterans Nursing Home",NA,NA,NA,0
"HB98-1052","1997_1998","1998-RS","Work Study Programs",NA,NA,NA,0
"HB98-1053","1997_1998","1998-RS","Short-Term Health Insurance",NA,NA,NA,0
"HB98-1054","1997_1998","1998-RS","Use Of Inmates For Disaster Relief",NA,NA,NA,0
"HB98-1055","1997_1998","1998-RS","Workers' Comp Discovery",NA,NA,NA,0
"HB98-1056","1997_1998","1998-RS","Vol Firefighter Service For Early Retire",NA,NA,NA,0
"HB98-1057","1997_1998","1998-RS","Funding For Nonresident Pupil Enrollment",NA,NA,NA,0
"HB98-1058","1997_1998","1998-RS","Environmental Leadership Program",NA,NA,NA,0
"HB98-1059","1997_1998","1998-RS","Traffic Violations In School Zones",NA,NA,NA,0
"HB98-1060","1997_1998","1998-RS","PUC Sunset Review Policy Changes",NA,NA,NA,0
"HB98-1061","1997_1998","1998-RS","Talking On Phone While Driving",NA,NA,NA,0
"HB98-1062","1997_1998","1998-RS","Select Independnt Work Comp Med Examiner",NA,NA,NA,0
"HB98-1063","1997_1998","1998-RS","Disabled Veteran Plates Eligibility",NA,NA,NA,0
"HB98-1064","1997_1998","1998-RS","County Clerk & Recorder Agent Fee",NA,NA,NA,0
"HB98-1065","1997_1998","1998-RS","Eliminate Sales Tax On Phone Services",NA,NA,NA,0
"HB98-1066","1997_1998","1998-RS","Passengers In Cargo Area",NA,NA,NA,0
